                                                  text  Sentiment
0                          is so sad for my apl friend          0
1                        i missed the new moon trailer          0
2                                    omg its already o          1
3    omgaga im sooo im gunna cry i ve been at this ...          0
4                  i think mi bf is cheating on me t t          0
5                             or i just worry too much          0
6                     juuuuuuuuuuuuuuuuussssst chillin          1
7                 sunny again work tomorrow tv tonight          0
8        handed in my uniform today i miss you already          1
9                     hmmmm i wonder how she my number          1
10                         i must think about positive          0
11      thanks to all the haters up in my face all day          1
12                      this weekend has sucked so far          0
13               jb isnt showing in australia any more          0
14                                 ok thats it you win          0
15                    this is the way i feel right now          0
16   awhhe man i m completely useless rt now funny ...          0
17   feeling strangely fine now i m gonna go listen...          1
18              huge roll of thunder just now so scary          0
19   i just cut my beard off it s only been growing...          0
20                                 very sad about iran          0
21                                       wompppp wompp          0
22   you re the only one who can see this cause no ...          1
23   sad level is i was writing a massive blog twee...          0
24   headed to hospitol had to pull out of the golf...          0
25          boring whats wrong with him please tell me          0
26   can t be bothered i wish i could spend the res...          0
27   feeeling like shit right now i really want to ...          0
28                 goodbye exams hello alcohol tonight          1
29   i didn t realize it was that deep geez give a ...          0
30   i hate it when any athlete appears to tear an ...          0
31   i miss you guys too i think i m wearing skinny...          0
32                                      meet your meat          0
33             my horsie is moving on saturday morning          0
34                 no sat off need to work days a week          0
35   really dont like doing my room its so boring s...          0
36   sox floyd was great but relievers need a scolding          0
37                             times by like a million          0
38                    uploading pictures on friendster          1
39   what type of a spaz downloads a virus my broth...          0
40                             fightiin wiit the babes          0
41   so i wrote something last week and i got a cal...          1
42                                         enough said          0
43   do i need to even say it do i well here i go a...          1
44                            health class what a joke          1
45                              go to the show tonight          1
46   galaxy it really makes me sad when i look at m...          0
47   all time low shall be my motivation for the re...          0
48   and the entertainment is over someone complain...          0
49   another year of lakers that s neither magic no...          0
50                                   baddest day eveer          0
51    bathroom is clean now on to more enjoyable tasks          1
52                                       boom boom pow          1
53                                       but i m proud          0
54                            congrats to helio though          0
55   david must be hospitalized for five days end o...          0
56    friends are leaving me cause of this stupid love          0
57                      go give ur mom a hug right now          1
58                 going to see harry sunday happiness          1
59                            hand quilting it is then          0
60                                   hate u leysh t ar          0
61                            i always get what i want          1
62                                    i bend backwards          1
63   i get off work sooooon i miss cody booo haven ...          1
64   i hate allergies should i get my hair cut tomo...          1
65               i love you guys so much that it hurts          0
66                                         i miss earl          0
67                                   i miss new jersey          0
68   i missed the first hour of sytycd last night a...          0
69                                  i need a u fix now          0
70            i never thought i d become second choice          0
71            i think i may be too friendly lol o well          0
72   i think manuel my basil plant only has days to...          0
73   i wanna be at home church i wonder wht they ar...          0
74                           i wanna make my own pizza          0
75   i want a gb harddrive or a inch tv or a new gu...          0
76                                        i want a hug          0
77                      i want miley to tour australia          0
78   i wanted to sleep in this morning but a mean k...          0
79                        i was too slow to get up tix          0
80   i will send sunshine to northern ireland are y...          0
81   i wish i could go to t on the beach would be g...          0
82   i would be so much happier if the walls of my ...          0
83   idk wat do who can i trust me im sorry all da ...          0
84   i m finding the intercept slope and banging my...          0
85                         i m really going to bed now          1
86                                 im sick cough cough          0
87     in cab headed to the airport going home christy          0
88   in case i feel emo in camp feeling a wee bit o...          0
89                                   jin has a twitter          1
90                            jonas day is almost over          0
91   jus got hom fr tda funeral i m so sad i cried ...          0
92   just gonna smile cuz it is what it is and im n...          1
93   just got home and i got to see my friend zahra...          1
94                              longest night ever ugh          0
95   mi momacita won t let me go to my bf s bball g...          0
96   mom says i have to get a new phone immediately...          0
97   my new car was stolen by my mother who wanted ...          0
98         no hang out with the girls day moro hope so          0
99   no movie times for sunday rats will have to pl...          0
100                         no pavel tonight tigersfan          0
101                                   not a cool night          0
102                                       oh thank you          1
103                                            pleased          1
104  probably guna get off soon since no one is tal...          0
105  really wanted safina to pull out a win to lose...          0
106                                  rip david eddings          0
107  rose and ood will be back in the xmas who spec...          1
108  sannesias aww no neighbor we need to watch mea...          0
109                so whats the status on next weekend          0
110  sorry the ex husband has overdosed on his dail...          0
111  thanks for your definition of throwbie editors...          0
112               thanks i need all the help i can get          1
113                                 that explains alot          1
114  there s going to be a heathers sequel winona e...          1
115  told not to drink w my rx so just gave all the...          0
116  trae is so sweet he just bought me a new baith...          1
117  true highly subjective of me there tombre was ...          1
118                                    u guys knw whyy          0
119                                       very much so          0
120                waahhh now i m getting sad miss hub          0
121  we were standing out in the pouring rain we we...          0
122  went to get dog from vets theyve stitched her ...          0
123                   where is my picture i feel naked          0
124  why aren t there any trains going to mancheste...          0
125  why must people be so picky i mean hours work ...          0
126              why twitter will soon become obsolete          0
127                                     wide awake not          1
128  yeah me too its been awful weather here for th...          1
129  you hi stranger hello i am frank lampard how a...          0
130                   you ll always be my one and only          0
131                       turnoffwords this shit sucks          0
132  asylm j panel is over guess it s back to norma...          0
